"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
120.7287488,14.820417,274,2414,97,999,623,4,"LF",0.00227651473388059
121.2620821,14.6537503,252,3023,60,981,660,286,"LF",0.0100029577753327
120.3370821,16.0287503,275,1982,94,1064,693,7,"LF",0.00467668369422372
121.2537488,16.595417,256,1985,41,1389,1783,225,"LF",0.0140891851774723
122.7120821,9.6287503,258,2432,63,509,1492,332,"LF",0.00921575263712066
125.8454154,9.5287503,266,4649,61,800,820,62,"LF",0.00365169638000339
121.0120821,14.670417,270,2503,89,1094,787,25,"LF",0.00223084855261128
123.9620821,10.2787503,276,1539,39,690,5371,3,"LF",0.000949469881574715
121.0787488,14.5870836,271,2271,89,1088,488,14,"LF",0.00207852945802189
121.8287488,17.0537503,269,1939,58,1670,1900,53,"LF",0.00471104836258168
120.6870821,14.870417,274,2327,95,1002,751,3,"LF",0.00229640857186074
120.1870821,14.8620836,271,3416,116,897,4539,16,"LF",0.00155075329835197
121.0120821,14.370417,271,1922,78,1020,1785,66,"LF",0.00212053397211451
122.7204154,14.0620836,252,3132,50,984,505,181,"LF",0.00417402856308774
124.3787487,7.145417,274,2067,34,314,1232,3,"LF",0.00368728869165361
122.1204154,10.6037503,262,2592,79,624,828,71,"LF",0.00152617642966724
124.4370821,6.8620837,272,2013,34,338,3473,43,"LF",0.00346875912493723
120.4870821,16.595417,252,2309,102,1063,386,249,"LF",0.024172125011803
120.3954154,17.5870836,270,2330,119,1069,1052,25,"LF",0.00940282365382612
123.8204154,8.1787503,265,2915,33,433,431,38,"LF",0.00377303185748459
121.3370821,14.8120836,227,3174,53,871,1966,1436,"LF",0.236575484642992
126.3204154,8.4037503,265,4327,46,669,542,24,"LF",0.00444693773849353
123.7954154,10.6537503,271,1589,38,742,80,34,"LF",0.00223942222909944
122.6287488,11.0370837,271,2125,45,742,259,60,"LF",0.00182222642601503
120.9454154,15.3120836,270,1951,82,1091,225,24,"LF",0.00336830414053663
120.4870821,14.8287503,268,3001,108,924,1522,18,"LF",0.00226947801977319
122.7204154,11.3620837,275,2407,41,760,3346,26,"LF",0.00095386179198161
123.5204154,12.3787503,271,2124,42,883,2612,91,"LF",0.00167259030742211
120.9370821,14.320417,263,2095,80,927,1983,96,"LF",0.0024206496076979
120.8954154,16.470417,186,2726,74,815,2760,2054,"LF",0.243130010405531
124.7954154,10.2370837,266,2453,32,605,789,58,"LF",0.00279381323241381
125.2954154,6.770417,262,1923,31,371,1735,68,"LF",0.0062539892915083
120.8870821,14.320417,267,2041,86,928,1815,68,"LF",0.00211510231216273
121.1870821,17.9287503,253,2580,58,1444,842,242,"LF",0.0266931024440242
124.6204154,8.5037503,268,1763,49,630,1531,10,"LF",0.00304599396585874
120.5954154,18.170417,267,2190,106,1303,1312,12,"LF",0.00936303439091114
125.1954154,8.470417,216,2809,20,448,1346,982,"LF",0.199986948286966
121.2454154,12.920417,221,2756,66,653,3369,874,"LF",0.0801180073878961
121.8037488,17.3037503,271,1851,62,1693,1446,34,"LF",0.00486316828293684
122.7870821,9.370417,272,2420,72,503,1829,12,"LF",0.00145025475156349
125.9787487,8.5037503,263,3716,37,722,2723,35,"LF",0.00331460754595404
122.8120821,9.370417,272,2420,72,503,855,8,"LF",0.00165176014915598
123.0287488,9.1120837,269,1998,65,473,354,73,"LF",0.00298160094387305
125.6370821,7.1120837,269,1922,24,399,4309,17,"LF",0.00325235884546522
124.4537487,9.7370837,268,1985,32,655,2748,45,"LF",0.00218518966772805
122.5704154,11.395417,272,2565,41,727,923,31,"LF",0.00134273979261055
124.4037487,7.0287503,274,2053,34,334,2775,12,"LF",0.00314836645959166
121.1287488,14.5537503,272,2213,80,1094,863,5,"LF",0.00182429614628668
120.7620821,15.095417,272,2147,90,1048,480,9,"LF",0.00275087490344569
121.3287488,16.345417,223,2268,50,1079,2838,823,"LF",0.150865561072056
123.1787488,13.6287503,270,2511,44,1063,964,3,"LF",0.00126335842274999
124.3704154,10.095417,273,1867,33,673,2529,8,"LF",0.00163195299572085
121.1370821,14.2370836,268,1948,63,1000,3527,26,"LF",0.00120274463035435
121.5954154,18.0620836,269,1612,85,1752,998,15,"LF",0.00615149126908802
121.0370821,14.620417,271,2271,89,1088,2103,31,"LF",0.00185210302529645
123.9287488,12.670417,268,2788,41,904,1575,32,"LF",0.00133751087520632
121.2204154,16.745417,254,1931,46,1360,1189,409,"LF",0.0431380135924187
120.9204154,14.4537503,273,1855,88,1036,744,4,"LF",0.00180291705225785
120.7204154,14.9287503,273,2199,92,997,715,5,"LF",0.00239532253604969
124.2704154,7.2620837,273,2323,38,333,999,14,"LF",0.00391488724944942
121.3163845,13.2796369,273,2019,47,919,5315,10,"LF",0.000576795238520239
124.9454154,7.870417,227,2639,39,417,772,690,"LF",0.121593587674888
122.2037488,10.7120837,261,2614,76,634,437,112,"LF",0.00211306866018835
120.8787488,13.9787503,263,1987,77,865,3466,262,"LF",0.00443696474054843
123.2454154,13.5037503,270,2429,45,1033,3037,10,"LF",0.000958116557945003
120.9537488,13.8787503,268,1824,71,908,3209,128,"LF",0.00199218741356281
125.5037487,7.0787503,269,1922,27,387,1650,96,"LF",0.00747474507258947
121.0454154,14.4537503,272,1924,83,1078,769,23,"LF",0.00198004932216864
121.4620821,13.9287503,263,2091,53,990,3989,96,"LF",0.00147659336412314
121.0454154,14.3287503,268,1983,74,974,932,27,"LF",0.00186524924727486
120.9954154,14.5287503,273,1945,89,1062,5769,7,"LF",0.000899313688218088
120.9120821,15.3370836,271,1891,87,1087,506,23,"LF",0.00327662810275603
120.2620821,16.0120836,275,2254,97,1064,1414,5,"LF",0.00419242097769915
120.3537488,16.0037503,275,1982,94,1064,235,8,"LF",0.00494732883028698
125.2954154,7.2537503,239,2345,36,369,1557,579,"LF",0.0853070798541089
124.9954154,8.6370837,222,2531,24,496,564,952,"LF",0.195146002996647
121.6954154,18.0370836,268,1667,84,1769,682,14,"LF",0.00603087518128208
124.8787487,6.4787503,265,1632,34,355,880,70,"LF",0.00663839463283825
121.0537488,13.895417,262,1921,65,876,241,282,"LF",0.0075717576189777
123.7037488,13.395417,270,3032,41,955,570,5,"LF",0.00129592482940512
125.5287487,7.0870837,265,1994,28,401,390,89,"LF",0.00862234292048668
125.3954154,7.0287503,212,2440,30,366,7288,842,"LF",0.130545541192598
125.5870821,9.070417,262,3138,43,852,7962,11,"LF",0.00109416541387275
