"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
-72.5795838,18.320417,256,1480,49,1162,2908,498,"LF",0.00504717415652614
-73.0629171,18.320417,244,1507,50,1139,453,258,"LF",0.0470097648814943
-72.3620517,19.702355,252,1844,33,1396,3005,86,"LF",0.010227846962367
-72.4129867,19.6993683,252,1844,33,1396,1711,54,"LF",0.0140690010047627
-72.6295838,18.5037503,264,1342,49,1219,778,22,"LF",0.0366399311496001
-72.4327717,19.6505267,234,1725,39,1187,1913,226,"LF",0.00318639887804216
-72.380265,19.7073283,252,1844,33,1396,1114,38,"LF",0.0223007928165502
-72.4110567,19.6893267,252,1844,33,1396,813,51,"LF",0.0263560122335629
-72.3107222,18.5609354,256,1319,55,1180,4964,44,"LF",0.0116755089544093
-72.5129171,18.795417,264,989,56,1192,1263,59,"LF",0.0333644581951192
-72.4243383,19.64931,234,1725,39,1187,1065,114,"LF",0.00585730298966688
-72.4080992,19.7045294,252,1844,33,1396,1661,33,"LF",0.0141039114328921
-72.5462505,19.670417,225,1750,39,1138,871,314,"LF",0.00631909758049488
-72.4117267,19.6986117,252,1844,33,1396,1558,54,"LF",0.0155846350210716
-72.2379171,19.0870836,229,1533,61,1117,3718,1306,"LF",0.00278458790680529
-72.41194,19.6907983,252,1844,33,1396,997,51,"LF",0.316202033857901
-72.3763838,19.7057044,252,1844,33,1396,1491,38,"LF",0.0167099450386748
-72.4188517,19.67707,242,1810,33,1293,724,113,"LF",0.0104588826946318
-72.4199267,19.6731833,242,1810,33,1293,934,87,"LF",0.00980719791740768
-72.3527953,19.6962445,252,1844,33,1396,4077,94,"LF",0.00843750566882686
-72.422635,19.6392,234,1725,39,1187,881,147,"LF",0.00647061155332261
-72.4174067,19.6782367,242,1810,33,1293,590,113,"LF",0.0104635123252622
-72.3780082,19.7045386,252,1844,33,1396,1319,38,"LF",0.0194610282003991
-72.6379171,19.2870836,265,641,74,1216,1507,6,"LF",0.0121218440833543
-72.3657183,19.7010667,252,1844,33,1396,2642,86,"LF",0.0106890928077544
-72.406485,19.5806583,215,1717,41,1210,944,503,"LF",0.00398828922173785
-72.363,19.70395,252,1844,33,1396,2894,86,"LF",0.0103710785364305
-72.4962505,18.3287503,244,1648,49,1213,2396,623,"LF",0.00743855595720077
-72.3379171,18.5787503,258,1387,52,1185,4201,3,"LF",0.0112508106290612
-72.3879171,18.5370836,258,1387,52,1185,2016,11,"LF",0.00704839594322385
-72.4712505,19.0620836,256,1278,72,1097,1559,42,"LF",0.0169752716118109
-72.4120883,19.6902583,252,1844,33,1396,946,51,"LF",0.0247846692309785
-72.4239656,19.6984386,242,1810,33,1293,2394,97,"LF",0.00402985154378639
-71.7212505,19.5537503,262,1222,49,1371,528,34,"LF",0.0377082438669635
-72.4174367,19.6808767,242,1810,33,1293,722,113,"LF",0.0104628750644727
-72.6712505,19.670417,243,1459,44,1135,1148,246,"LF",0.0177798183593803
-72.3107108,18.5608817,256,1319,55,1180,4970,44,"LF",0.0153969866597605
